received_date,effective_date,type,affected,employer,city,county,notification,source_year
4/22/2020,4/3/2020,Layoff,3182,Harrah's Las Vegas,Las Vegas,Clark,,2020
4/22/2020,4/1/2020,Layoff,1752,Harvey's Tahoe Mgmt Co,Stateline,Douglas,,2020
4/22/2020,4/1/2020,Layoff,476,"CEOC, LLC (Harrah's Reno)",Reno,Washoe,,2020
4/22/2020,4/3/2020,Layoff,2393,"Rio Properties, LLC",Las Vegas,Clark,,2020
4/23/2020,4/4/2020,Layoff,40,Visionworks,"He, LV, Re","Cl, Wa",,2020
4/23/2020,4/3/2020,Layoff,759,Harrah's Laughlin LLC,Laughlin,Clark,,2020
4/23/2020,3/21/2020,Layoff,118,Miller's Ale House,"He, LV",Clark,,2020
4/24/2020,3/20/2020,Layoff,115,Enterprise Holdings - Bermuda Rd.,Las Vegas,Clark,,2020
4/24/2020,4/30/2020,Layoff,21,Enterprise Holdings - Bermuda Rd.,Las Vegas,Clark,,2020
4/24/2020,3/15/2020,Layoff,221,Bloomin Brands,Las Vegas,Clark,,2020
4/24/2020,3/17/2020,Layoff,86,T&T BLV LLC,Las Vegas,Clark,,2020
4/24/2020,3/17/2020,Layoff,81,Buca (EX) LLC,Las Vegas,Clark,,2020
4/24/2020,4/30/2020,Layoff,35,Enterprise Holdings - Gillespie St.,Las Vegas,Clark,,2020
4/24/2020,3/18/2020,Layoff,115,Enterprise Holdings - Gillespie St.,Las Vegas,Clark,,2020
4/27/2020,5/9/2020,Layoff,5,Wet Republic,Las Vegas,Clark,,2020
4/27/2020,5/9/2020,Layoff,1,Liquid Pool Lounge,Las Vegas,Clark,,2020
4/27/2020,5/9/2020,Layoff,4,Jewel Nightclub,Las Vegas,Clark,,2020
4/27/2020,5/9/2020,Layoff,1,Level Up,Las Vegas,Clark,,2020
4/28/2020,4/14/2020,Layoff,183,Hertz Corporation,Las Vegas,Clark,,2020
4/29/2020,3/17/2020,Layoff,44,Regal Cinemas,Las Vegas,Clark,,2020
4/29/2020,4/24/2020,Layoff,96,Tahoe Biltmore,Crystal Bay,Washoe,,2020
4/29/2020,4/13/2020,Layoff,239,"Hard Rock Café International USA, Inc.",Las Vegas,Clark,,2020
4/29/2020,5/1/2020,Layoff,2,Hakkasan Nightclub,Las Vegas,Clark,,2020
4/29/2020,5/1/2020,Layoff,26,"Hakkasan Holdings, LLC",Las Vegas,Clark,,2020
4/29/2020,5/1/2020,Layoff,1,OMNIA Nightclub,Las Vegas,Clark,,2020
4/30/2020,5/1/2020,Layoff,484,"Avi Casino Enterprise, Inc.",Laughlin,Clark,,2020
5/1/2020,5/1/2020,Layoff,40,Culinary Health Center,Las Vegas,Clark,,2020
5/1/2020,5/1/2020,Closure,73,Gulfstream,Las Vegas,Clark,,2020
5/1/2020,5/1/2020,Layoff,320,Boulder Station Hotel & Casino,Henderson,Clark,,2020
5/1/2020,5/1/2020,Layoff,638,Fiesta Henderson Hotel & Casino,Henderson,Clark,,2020
5/1/2020,5/1/2020,Layoff,420,Fiesta Rancho Hotel & Casino,Las Vegas,Clark,,2020
5/1/2020,5/1/2020,Layoff,517,"Green Valley Ranch Resort, Spa and Casino",Henderson,Clark,,2020
5/1/2020,5/1/2020,Layoff,406,Palace Station Hotel and Casino,Las Vegas,Clark,,2020
5/1/2020,5/1/2020,Layoff,1745,Palms Casino Resort,Las Vegas,Clark,,2020
5/1/2020,5/1/2020,Layoff,913,Red Rock Casino Resort and Spa,Las Vegas,Clark,,2020
5/1/2020,5/1/2020,Layoff,351,Santa Fe Station Hotel & Casino,Las Vegas,Clark,,2020
5/1/2020,5/1/2020,Layoff,822,Texas Station Gambling Hall & Hotel,N. Las Vegas,Clark,,2020
5/1/2020,5/1/2020,Layoff,302,Sunset Station Hotel & Casino,Las Vegas,Clark,,2020
5/4/2020,6/24/2020,Layoff,159,"Javier's Las Vegas, LLC",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,1,"MGM Resorts Satellite, LLC",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,13,"The Crystals at CityCenter Management, LLC",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,706,The Signature,Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,2846,Park MGM Las Vegas,Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,3523,Mirage Casino-Hotel,Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,1749,New York-New York Hotel & Casino,Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,30,Shadow Creek Club,Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,2535,"MGM Resorts Int. Operations, Inc.",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,23,"MGM Resorts International Marketing, Inc.",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,40,MGM Resorts Int. Design,Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,920,"Vdara Condo Hotel, LLC",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,6821,Bellagio Hotel & Casino,Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,6082,"MGM Grand Hotel, LLC",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,25,"Mandalay Place, Inc.",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,5890,"Mandalay Bay, LLC",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,19,"Las Vegas Basketball Ventures, LLC",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,6572,ARIA Resort & Casino,Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,315,"Las Vegas Arena Management, LLC",Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,2649,Luxor Hotel & Casino,Las Vegas,Clark,,2020
5/5/2020,3/15/2020,Layoff,132,"Grand Laundry, Inc.",N. Las Vegas,Clark,,2020
