received,employer,city,region,layoff_dates,employees
2024-06-03,"Ocular Therapeutix, Inc.",Bedford,Metro Southwest,2024-08-02,37
2024-05-21,"Takeda Pharmaceuticals USA, Inc,",Cambridge,Boston,Early 7/2024 to 3/2025,495
2024-05-21,"Takeda Pharmaceuticals USA, Inc,",Lexington,Metro Southwest,Early July 2024 to March 2025,146
2024-05-15,"Sodexo, Inc. and Affiliates - Assumption College",Worcester,Central,2024-05-29,88
2024-04-23,East West Boston LLC,Boston,Boston,2024-06-21,51
2024-04-16,"Mustang Bio, Inc.",Worcester,Central,2024-04-12,47
2024-04-09,Cambridge College,Boston,Boston,2024-06-09,50
2024-04-05,"Sodexo, Inc. and Affiliates - Clark University",Worcester,Central,2024-05-31,154
2024-04-04,"Amylyx Pharmaceuticals, Inc.",Cambridge,Boston,2024-06-03,232
2024-04-03,"Casa Systems, Inc.",Andover,Northeast,"4/5/2024, 6/3/2024",239
2024-04-01,"Volta Charging Industries, LLC","Brookline, Milton, Everett",Remote/National,5/31/1204,3
2024-03-28,"True North Seafood, Inc.",New Bedford,Southeast,On or about 5/28/2024,58
2024-03-25,"Bionano Genomics, Inc,.",MA,Remote/National,2024-05-24,2
2024-03-20,Sodexo/ Stonehill College,North Easton,Southeast,2024-05-20,119
2024-03-19,Excelitas Technologies Corp.,Salem,Northeast,6/28/2024 - 12/31/2024,70
2024-03-04,Whele HR LLC dba Perch,Boston,Boston,"5/6/2024; 5/31/2024; 6/28/2024,;9/6/2024",94
2024-02-29,Baxter Healthcare,Acton,Metro Southwest,5/3/2024 -6/30/2024,59
2024-02-27,Lakeside Book Company,Chelmsford,Northeast,5/10/2024 -5/24/2024,93
2024-02-22,"Broadcom Inc., (together with its subsidiaries, “Broadcom”)",Burlington,Boston,2024-04-26,75
2024-02-20,Brady Solutions,East Weymouth,Southeast,2/12/2024 - 2/25/2024,t/b/d
2024-02-16,*UPDATED: New England Sainai Hospital,Stoughton,Southeast,"Postpone the layoff of remaining 11 employees until March 1, 2024 (or within a 14-day period thereafter)",11
2024-01-31,"Drizly, LLC and Uber Technologies, Inc.",Boston,Boston,Between 4/1/2024 and 9/1/2024 or the 14-day periods beginning on those dates.,168
2024-01-30,"Block, Inc.",MA,Remote/National,2024-03-30,4
2024-01-29,"Wolverine World Wide, Inc.",Waltham,Metro Southwest,2024-03-29,71
