Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
DAC GROUP NEW YORK INC.,2025-12-31,2025-09-30,2025-11-18,"260 Main St East Suite 3800 Rochester, NY, 14604",Monroe,Layoff,Permanent,Contract Loss,8,43,43
"Dr. Howard Dr. Fine, LLC.",2025-11-18,2025-08-12,2025-08-14,"53 Howard Street  New York, NY, 10013",New York,Closure,Permanent,Contract Termination,16,56,56
"DSV Air & Sea, Inc.",2026-01-31,2025-10-27,2025-11-21,"133-33 Brookville Blvd. Suite 115 Rosedale, NY, 11422",Queens,Closure,Permanent,Other,10,31,31
"Eaglestone, LLC, Eaglestone Holdings, LLC, Eaglestone Intermediate Holdings, LLC, and Eaglestone Shared Services, LLC.",2025-02-07,2025-02-07,2025-03-11,"551 5th Avenue 9th Floor New York, NY, 10176",New York,Closure,Permanent,Economic,248,6,6
"Ebates Performance Marketing, Inc.",2025-12-16,2025-12-12,2026-01-02,"215 Park Ave S 2nd Floor New York, NY, 10003",New York,Closure,Permanent,Economic,25,29,29
eBay Inc.,2025-07-18,2025-05-22,2025-08-22,"440 S. Warren St. Suite 100 Syracuse, NY, 13202",Onondaga,Closure,Permanent,Other,26,215,215
"EEDU, LLC.",2025-06-04,2025-03-05,2025-03-07,"800 Riverwalk Parkway  Tonawanda, NY, 14150",Erie,Closure,Permanent,Economic,249,129,129
Eisler Capital (US) LLC.,2025-12-28,2025-09-29,2025-11-18,"66 Hudson Boulevard  New York, NY, 10001",New York,Closure,Permanent,Economic,28,79,79
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"90 New Main St  Haverstraw, NY, 10927",Rockland,Closure,Permanent,Sale of Business,15,1,1
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"91-71 111th St  Richmond Hill, NY, 11418",Queens,Closure,Permanent,Sale of Business,12,1,1
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"92-29 Queens Blvd  Rego Park, NY, 11374",Queens,Closure,Permanent,Sale of Business,13,1,1
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"102 Park Ave  Yonkers, NY, 10703",Westchester,Closure,Permanent,Sale of Business,16,1,1
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"136-21 Franklin Ave  Flushing, NY, 11355",Queens,Closure,Permanent,Sale of Business,14,1,1
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"217 Grand St Suite 403 New York, NY, 10013",New York,Closure,Permanent,Sale of Business,10,1,1
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"229 49th Street  Brooklyn, NY, 11220",Kings,Closure,Permanent,Sale of Business,4,183,183
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"395 Pearl St Suite 202 Brooklyn, NY, 11202",Kings,Closure,Permanent,Sale of Business,5,1,1
"Empire City Laboratories, Inc.",2026-02-15,2025-09-22,2026-03-18,"629 West 185th St  New York, NY, 10033",New York,Closure,Permanent,Sale of Business,11,1,1
