company,city,industry,layoff_start,warn_act,warn_received,layoff_type,layoff_status,affected_workers,period,source_file
Godiva Chocolatier Inc-Minnetonka,Minnetonka,Retail,2/15/2021,NO,-,Closing,Small Layoff Services,4,2021-01,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Godiva Chocolatier Inc-Bloomington,Bloomington,Retail,2/15/2021,NO,-,Closing,Small Layoff Services,5,2021-01,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Silver King 2021,Plymouth,Manufacturing,12/31/2021,NO,-,Closing,Small Layoff Services,31,2021-01,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Christopher & Banks 2021,Plymouth,Retail,1/1/2021,YES,1/25/2021,Closing,Small Layoff Services,361,2021-01,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Commercial Plastics - Lakeville 2021,Lakeville,Utilities,2/15/2021,YES,1/6/2021,Closing,Small Layoff Services,122,2021-01,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Aramark-3M Locations 2020,Cottage Grove,Dining Establishments,4/30/2021,YES,2/24/2021,Closing,Rapid Response in Progress,80,2021-02,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Minneapolis Airport Marriott Hotel,Bloomington,Accommodation,3/19/2021,YES,3/19/2021,Temporary Layoff,Small Layoff Services,82,2021-03,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
"Total Card, Inc 1",Luverne,Finance & Insurance,3/31/2021,NO,-,Closing,TAA Investigation,22,2021-03,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
American Beverage Corp,Elk River,Manufacturing,4/26/2021,NO,-,Closing,Small Layoff Services,45,2021-03,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Plastic Services & Products 2021,Faribault,Manufacturing,3/19/2021,NO,-,Closing,Small Layoff Services,5,2021-03,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Positive Connections 2021,Chaska,Transportation,6/1/2021,YES,-,No Layoff,Aversion/Retention,92,2021-03,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Eclipse Advantage 2021,Maple Grove,Other Services,5/28/2021,YES,4/6/2021,Closing,Small Layoff Services,208,2021-04,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
First Transit 2021,Burnsville,Transportation,5/1/2021,NO,4/13/2021,Closing,Small Layoff Services,5,2021-04,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
J&J Distributing 2021,St Paul,Wholesale,3/23/2021,NO,-,Closing,Small Layoff Services,66,2021-04,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Baxter Healthcare 2021,Brooklyn Park,Manufacturing,4/30/2021,YES,6/24/2021,Workforce Reduction,Small Layoff Services,50,2021-06,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
First Student Robinsdale,New Hope,Transportation,6/30/2021,NO,-,Closing,Small Layoff Services,8,2021-06,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Hennepin County Homeschool Closing 2020,Minnetonka,Health Care/Social Assist,TBD,NO,-,Closing,Aversion/Retention,TBD,2021-06,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
International Falls Journal,International Falls,-,6/24/2021,NO,-,Closing,Rapid Response in Progress,12,2021-06,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Duluth Hills Youth and Family 2021,Duluth,Education,6/18/2021,NO,-,Closing,Small Layoff Services,99,2021-06,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Juut SalonSpa 2021,Minneapolis,Other Services,6/14/2021,NO,-,Closing,Small Layoff Services,1,2021-06,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
East Bethel Hill Youth & Family Services 2021,Duluth,Education,6/11/2021,NO,-,Closing,Small Layoff Services,73,2021-06,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Wedge Table - Nicollet 2021,Minneapolis,Dining Establishments,7/12/2021,NO,-,Closing,Small Layoff Services,1,2021-06,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Birchwood Cafe 2021,Minneapolis,Dining Establishments,6/21/2021,NO,-,Closing,Small Layoff Services,18,2021-07,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Hoya Optical 2021,Ramsey,Manufacturing,11/12/2021,NO,-,Closing,Rapid Response in Progress,7,2021-07,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Coleman 2021,Sauk Rapids,Manufacturing,7/30/2021,YES,8/31/2021,Closing,New Project,133,2021-08,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
IWCO Direct 2021,Little Falls,Manufacturing,11/1/2021,YES,8/23/2021,Closing,Rapid Response in Progress,330,2021-08,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
American Beverage Corporation,Elk River,Manufacturing,9/20/2021,NO,-,Closing,Small Layoff Services,1,2021-09,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Ramsey County 2021,St Paul,Government,10/15/2021,YES,-,Temporary Work,Small Layoff Services,100,2021-09,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Buffalo Wings and Rings 2021,Mankato,Dining Establishments,10/17/2021,NO,-,Closing,Small Layoff Services,1,2021-10,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Perkins-North Mankato 2021,North Mankato,Dining Establishments,10/10/2021,NO,-,Closing,Small Layoff Services,1,2021-10,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Grizzly's 2021,Mankato,Dining Establishments,10/24/2021,NO,-,Closing,Small Layoff Services,40,2021-10,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
National Recoveries 2021,Arden Hills,Other Services,10/1/2021,YES,10/15/2021,Workforce Reduction,Small Layoff Services,60,2021-10,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Emily's Bakery & Deli 2021,Hastings,Manufacturing,11/20/2021,NO,-,Closing,Small Layoff Services,1,2021-11,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
CVS Moorhead 2022,Moorhead,Retail,2/25/22,YES,-,Closing,Small Layoff Services,13,2022-01,plant-closing-mass-layoff-2022_tcm1045-559807.pdf
Bed Bath & Beyond 2022,Duluth,Retail,3/1/22,NO,-,Closing,Small Layoff Services,10,2022-01,plant-closing-mass-layoff-2022_tcm1045-559807.pdf
Bed Bath Beyond Eagan 2022,Eagan,Retail,2/28/22,NO,-,Closing,Small Layoff Services,15,2022-01,plant-closing-mass-layoff-2022_tcm1045-559807.pdf
Twin City Gardens Nursing Home,Minneapolis,Health Care/Social Assist,1/10/22,NO,-,Closing,Small Layoff Services,61,2022-01,plant-closing-mass-layoff-2022_tcm1045-559807.pdf
Stearns Bank North Branch 2022,North Branch,Finance & Insurance,TBD,NO,-,Closing,Rapid Response in Progress,TBD,2022-02,plant-closing-mass-layoff-february-2022_tcm1045-520972.pdf
Lakeside Medical Ctr 2022,Pine City,Health Care/Social Assist,2/18/2022,NO,-,Closing,Small Layoff Services,44,2022-02,plant-closing-mass-layoff-february-2022_tcm1045-520972.pdf
Bonngard's Family Meats 2022,Cottage Grove,Retail,2/5/2022,NO,-,Closing,Small Layoff Services,2,2022-02,plant-closing-mass-layoff-february-2022_tcm1045-520972.pdf
Aramark Educational Services,Minneapolis,Dining Establishments,5/31/22,YES,3/23/22,Transfer of Ownership,Small Layoff Services,100,2022-03,plant-closing-mass-layoff-2022_tcm1045-559807.pdf
JJ Taylor 2022,Minneapolis,Wholesale,5/30/22,YES,3/3/22,Transfer of Ownership,Small Layoff Services,20,2022-03,plant-closing-mass-layoff-2022_tcm1045-559807.pdf
"Unifi Aviation, LLC",Atlanta,Transportation,4/1/22,YES,3/1/22,No Layoff,Aversion/Retention,58,2022-03,plant-closing-mass-layoff-2022_tcm1045-559807.pdf
Ramsey County Care Center,Maplewood,Health Care/Social Assist,7/1/22,NO,-,Closing,Small Layoff Services,156,2022-03,plant-closing-mass-layoff-2022_tcm1045-559807.pdf
CVS St Paul 2022,St Paul,Retail,4/1/22,NO,-,Closing,Small Layoff Services,3,2022-03,plant-closing-mass-layoff-2022_tcm1045-559807.pdf
Tin Whiskers Brewing Co,St Paul,Dining Establishments,3/21/22,NO,-,Closing,Small Layoff Services,10,2022-03,plant-closing-mass-layoff-2022_tcm1045-559807.pdf
Day & Ross 2022,Minneapolis,Warehousing,5/27/2022,YES,4/5/2022,Transfer of Ownership,Rapid Response in Progress,79,2022-04,plant-closing-april-2022_tcm1045-527931.pdf
TE Connectivity 2022,Andover,Manufacturing,12/1/2022,NO,-,Closing,Rapid Response in Progress,120,2022-04,plant-closing-april-2022_tcm1045-527931.pdf
Pleasant Manor-Faribault 2022,Faribault,Health Care/Social Assist,6/15/2022,NO,-,Closing,Small Layoff Services,20,2022-05,plant-closing-may2022_tcm1045-530080.pdf
Sears Marshall 2022,Marshall,Retail,TBD,NO,-,Closing,Rapid Response in Progress,TBD,2022-05,plant-closing-may2022_tcm1045-530080.pdf
Sears Litchfield 2022,Litchfield,Retail,6/30/2022,NO,-,Closing,Rapid Response in Progress,1,2022-05,plant-closing-may2022_tcm1045-530080.pdf
Sears Cambridge 2022,Cambridge,Retail,8/31/2022,NO,-,Closing,Rapid Response in Progress,2,2022-05,plant-closing-may2022_tcm1045-530080.pdf
Good Samaritan Society Nursing Home Winthrop,Winthrop,Health Care/Social Assist,8/31/2022,NO,-,Closing,Small Layoff Services,40,2022-06,plant-closing-june-2022_tcm1045-533710.pdf
Midwest Specialized Transportation 2022,Rochester,Transportation,8/1/2022,YES,6/1/2022,Closing,Small Layoff Services,57,2022-06,plant-closing-june-2022_tcm1045-533710.pdf
VSPOne Lab 2022,Saint Cloud,Retail,8/12/2022,No,-,Closing,Small Layoff Services,4,2022-07,plant-closing-mass-layoff-july2022_tcm1045-536331.pdf
School Sisters of Notre Dame,Mankato,Education,10/10/2022,YES,8/10/2022,Closing,Small Layoff Services,104,2022-08,plant-closing-august-2022_tcm1045-539644.pdf
Ball Corp 2022,St Paul,Manufacturing,3/3/2023,NO,-,Closing,Rapid Response in Progress,110,2022-08,plant-closing-august-2022_tcm1045-539644.pdf
MN DFL 2022,St Paul,Government,11/15/2022,YES,-,Temporary Work,Small Layoff Services,40,2022-09,plant-closing-september-2022_tcm1045-543382.pdf
Second Samuel Transport 2022,Mendota Heights,Transportation,11/8/2022,YES,9/16/2022,Closing,Rapid Response in Progress,64,2022-09,plant-closing-september-2022_tcm1045-543382.pdf
WestRock - Saint Paul 2022,St Paul,Manufacturing,10/28/2022,NO,-,Closing,Rapid Response in Progress,130,2022-10,plant-closing-october-2022_tcm1045-546802.pdf
Turck Inc 2022,Plymouth,Manufacturing,1/6/2023,YES,11/3/2022,Workforce Reduction,Rapid Response in Progress,134,2022-11,plant-closing-november2022_tcm1045-550267.pdf
Nordstrom Rack IDS 2022,Minneapolis,Retail,11/18/2022,NO,-,Closing,Small Layoff Services,5,2022-11,plant-closing-november2022_tcm1045-550267.pdf
Bright Health (2) 2022,Minneapolis,Finance & Insurance,1/27/2023,YES,11/8/2022,Workforce Reduction,Rapid Response in Progress,99,2022-11,plant-closing-november2022_tcm1045-550267.pdf
Marshalls - Minneapolis,Minneapolis,Retail,1/14/23,NO,-,Closing,Small Layoff Services,45,2022-12,plant-closing-mass-layoff-december-2022_tcm1045-559742.pdf
Pineview Nursing Home,Caledonia,Health Care/Social Assist,2/3/23,NO,-,Closing,Small Layoff Services,16,2022-12,plant-closing-mass-layoff-december-2022_tcm1045-559742.pdf
Packer Sanitation Services Inc.,Worthington,Other Services,1/22/23,YES,12/13/22,Workforce Reduction,Rapid Response in Progress,121,2022-12,plant-closing-mass-layoff-december-2022_tcm1045-559742.pdf
Amazon Warehouse-Shakopee 2023,Shakopee,Retail,3/31/2023,YES,,,Rapid Response in Progress,680,2023-01,plant-closing-mass-layoff-january-2023_tcm1045-565468.pdf
GAP 2023,Bloomington,Retail,1/1/2023,NO,,,Small Layoff Services,1,2023-01,plant-closing-mass-layoff-january-2023_tcm1045-565468.pdf
JCPenney Detroit Lakes 2023,Detroit Lakes,Retail,5/1/2023,NO,,,Small Layoff Services,10,2023-01,plant-closing-mass-layoff-january-2023_tcm1045-565468.pdf
Shutterfly 2023,Shakopee,Manufacturing,3/29/2023,YES,,,Rapid Response in Progress,97,2023-01,plant-closing-mass-layoff-january-2023_tcm1045-565468.pdf
Bright Health 2023,Minneapolis,Finance & Insurance,4/1/23,YES,2/1/23,Workforce Reduction,Rapid Response in Progress,42,2023-02,plant-closing-mass-layoff-warn-february-2023_tcm1045-567792.pdf
Bed Bath & Beyond Minnetonka,Minnetonka,Retail,5/1/23,NO,-,Closing,Small Layoff Services,14,2023-02,plant-closing-mass-layoff-warn-february-2023_tcm1045-567792.pdf
Bed Bath & Beyond Rochester,Rochester,Retail,5/1/23,NO,-,Closing,Small Layoff Services,12,2023-02,plant-closing-mass-layoff-warn-february-2023_tcm1045-567792.pdf
Aldi - N Mpls 2023,Minneapolis,Retail,2/12/23,NO,-,Closing,Aversion/Retention,15,2023-02,plant-closing-mass-layoff-warn-february-2023_tcm1045-567792.pdf
Bed Bath & Beyond Roseville,Roseville,Retail,5/1/23,NO,-,Closing,Small Layoff Services,13,2023-02,plant-closing-mass-layoff-warn-february-2023_tcm1045-567792.pdf
Walgreens 2023,Minneapolis,Retail,2/13/23,NO,-,Closing,Aversion/Retention,16,2023-02,plant-closing-mass-layoff-warn-february-2023_tcm1045-567792.pdf
Plastech Corp - Anoka 2023,Rush City,Manufacturing,4/14/23,YES,2/14/23,Closing,Rapid Response in Progress,71,2023-02,plant-closing-mass-layoff-warn-february-2023_tcm1045-567792.pdf
HTI Tech- 2023,Hutchinson,Manufacturing,5/5/2023,YES,3/7/2023,Workforce Reduction,Rapid Response in Progress,30,2023-03,plant-closing-mass-layoff-warn-march2023_tcm1045-572472.pdf
Active Sports 2023,Lincolnshire,Retail,5/1/2023,YES,3/3/2023,Closing,Rapid Response in Progress,90,2023-03,plant-closing-mass-layoff-warn-march2023_tcm1045-572472.pdf
Target - Uptown/Mpls 2023,Minneapolis,Retail,5/13/2023,NO,3/21/2023,Closing,Small Layoff Services,45,2023-03,plant-closing-mass-layoff-warn-march2023_tcm1045-572472.pdf
Walmart Brooklyn Center 2023,Bentonville,Retail,4/21/2023,YES,3/24/2023,Closing,Rapid Response in Progress,420,2023-03,plant-closing-mass-layoff-warn-march2023_tcm1045-572472.pdf
3M- HQ 2023,Maplewood,Manufacturing,6/30/2023,YES,5/2/2023,Workforce Reduction,Rapid Response in Progress,"1,100",2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Pescara 2023,Rochester,Dining Establishments,TBD,NO,-,Closing,Rapid Response in Progress,TBD,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Olympak 2023,Grand Rapids,Manufacturing,7/1/2023,NO,-,Closing,Rapid Response in Progress,40,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Powerbikes.com,St Louis Park,Retail,12/30/2022,NO,-,Closing,Small Layoff Services,25,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
P.F. Chang’s - Edina 2023,New York,Dining Establishments,4/1/2023,NO,-,Closing,Rapid Response in Progress,TBD,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
BLST Operating Co. - 2023,Eden Prairie,Information,3/31/2023,YES,3/31/2023,Workforce Reduction,Aversion/Retention,61,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Applebee – 2023,Brooklyn Ctr,Dining Establishments,3/29/2023,NO,-,Closing,Aversion/Retention,39,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Bon Vie Bistro & A Piece of Cake,St Paul,Dining Establishments,4/4/2023,NO,-,Closing,Small Layoff Services,0,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Bap and Chicken - 2023,St Paul,Dining Establishments,4/22/2023,NO,-,Closing,Small Layoff Services,7,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Eagle Street Grille - 2023,St Paul,Dining Establishments,3/22/2023,NO,-,Closing,Small Layoff Services,7,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
AT&T 2023,Minneapolis,Information,5/15/2023,NO,-,Closing,Small Layoff Services,1,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Packers Sanitation 2023,Cold Spring,Other Services,5/30/2023,YES,4/10/2023,Workforce Reduction,Small Layoff Services,81,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
HyLife Foods Windom 2023,Windom,Manufacturing,4/17/2023,YES,4/10/2023,Closing,Rapid Response in Progress,"1,007",2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Burger King - North Moorhead,South Ogden,Dining Establishments,4/10/2023,NO,-,Closing,Small Layoff Services,25,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Burger King - Alexandria – 2023,South Ogden,Dining Establishments,4/12/2023,NO,-,Closing,Small Layoff Services,25,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
David's Bridal Oakdale 2023,Oakdale,Retail,6/12/2023,YES,4/17/2023,Closing,Rapid Response in Progress,TBD,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Burger King - Fergus Falls - 2023,South Ogden,Dining Establishments,4/12/2023,NO,-,Closing,Small Layoff Services,25,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Burger King - Redwood Falls,South Ogden,Dining Establishments,4/12/2023,NO,-,Closing,Small Layoff Services,25,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Burger King - Long Prairie - 2023,South Ogden,Dining Establishments,4/12/2023,NO,-,Closing,Small Layoff Services,25,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
David's Bridal Duluth 2023,Duluth,Retail,6/12/2023,YES,4/17/2023,Closing,Rapid Response in Progress,TBD,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Burger King - Litchfield – 2023,South Ogden,Dining Establishments,4/12/2023,NO,-,Closing,Small Layoff Services,25,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Burger King - Montevideo - 2023,South Ogden,Dining Establishments,4/12/2023,NO,-,Closing,Small Layoff Services,25,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
It's Greek to Me Taverna E Parea,Minneapolis,Dining Establishments,3/23/2023,NO,-,Closing,Small Layoff Services,0,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
The Grateful Table – 2023,Roseville,Dining Establishments,3/27/2023,NO,-,Closing,Aversion/Retention,7,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Walkin' Dog – 2023,Minneapolis,Dining Establishments,4/9/2023,NO,-,Closing,Small Layoff Services,1,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
David's Bridal Richfield 2023,Richfield,Retail,6/12/2023,YES,4/17/2023,Closing,Rapid Response in Progress,TBD,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Burger King - East Grand Forks,South Ogden,Dining Establishments,4/12/2023,NO,-,Closing,Small Layoff Services,25,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
Burger King - Willmar - 2023,South Ogden,Dining Establishments,4/12/2023,NO,-,Closing,Small Layoff Services,25,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
David's Bridal Rochester 2023,Rochester,Retail,6/12/2023,YES,4/17/2023,Closing,Rapid Response in Progress,TBD,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
David's Bridal Maple Grove 2023,Maple Grove,Retail,6/12/2023,YES,4/17/2023,Closing,Rapid Response in Progress,TBD,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
D Michael B's Restaurant,Alexandria,Dining Establishments,4/20/2023,NO,-,Closing,Small Layoff Services,10,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
ProMedica Hospice 2023,Toledo,Health Care/Social Assist,5/17/2023,NO,-,Closing,Small Layoff Services,25,2023-04,plant-closing-mass-layoff-warn-april2023_tcm1045-576548.pdf
House of Hope 2023,Mankato,Health Care/Social Assist,5/19/2023,NO,-,Closing,Small Layoff Services,23,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
Jenny Craig - Roseville 2023,Carlsbad,Health Care/Social Assist,4/17/2023,NO,-,Closing,Small Layoff Services,1,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
Jenny Craig - Shakopee 2023,Carlsbad,Health Care/Social Assist,4/17/2023,NO,-,Closing,Small Layoff Services,1,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
Tarsilla's Café 2023,Stewartville,Dining Establishments,4/17/2023,NO,-,Closing,No Layoff,5,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
KinhDo Restaurant -2023,Minneapolis,Dining Establishments,4/1/2023,NO,-,Closing,No Layoff,5,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
Jenny Craig - Burnsville 2023,Carlsbad,Health Care/Social Assist,4/17/2023,NO,-,Closing,Small Layoff Services,1,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
Jenny Craig - Minnetonka 2023,Carlsbad,Health Care/Social Assist,4/17/2023,NO,-,Closing,Small Layoff Services,1,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
3M's Wonewok- 2023,Park Rapids,Admin & Support Services,6/30/2023,NO,-,Closing,Rapid Response in Progress,40,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
Zoe's Bakery and Cafe,Minneapolis,Dining Establishments,4/17/2023,NO,-,Closing,No Layoff,0,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
Dunn Brothers Chaska,Chaska,Dining Establishments,5/5/2023,NO,-,Closing,Small Layoff Services,1,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
Granite City - Roseville,Golden Valley,Dining Establishments,5/15/2023,NO,-,Closing,Small Layoff Services,1,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
City of Maplewood DMV 2023,Maplewood,Government,5/8/2023,NO,-,Closing,Small Layoff Services,7,2023-05,plant-closing-mass-layoff-warn-may-2023_tcm1045-579786.pdf
Bella Bridesmaids 2023,Minneapolis,Retail,6/1/2023,NO,,Closing,Small Layoff Services,1,2023-06,plant-closing-mass-layoff-warn-june-2023_tcm1045-583884.pdf
Green Mill Restaurant & Bar 2023,Hastings,Dining Establishments,6/9/2023,NO,,Closing,Small Layoff Services,1,2023-06,plant-closing-mass-layoff-warn-june-2023_tcm1045-583884.pdf
Taco John's - Moorhead 2023,Moorhead,Dining Establishments,6/1/2023,NO,,Closing,Small Layoff Services,1,2023-06,plant-closing-mass-layoff-warn-june-2023_tcm1045-583884.pdf
Fasika Ethiopian Restaurant 2023,St Paul,Dining Establishments,6/1/2023,NO,,Closing,Small Layoff Services,1,2023-06,plant-closing-mass-layoff-warn-june-2023_tcm1045-583884.pdf
Rocco Altobelli Salons and Day Spas,Rochester,Other Services,6/15/2023,NO,,Closing,Small Layoff Services,1,2023-06,plant-closing-mass-layoff-warn-june-2023_tcm1045-583884.pdf
Hubert White - Minneapolis 2023,Minneapolis,Retail,6/15/2023,NO,,Closing,Small Layoff Services,1,2023-06,plant-closing-mass-layoff-warn-june-2023_tcm1045-583884.pdf
Alary's Bar 2023,New Brighton,Dining Establishments,6/1/2023,NO,,Closing,Small Layoff Services,1,2023-06,plant-closing-mass-layoff-warn-june-2023_tcm1045-583884.pdf
Chez Bojji - Rochester 2023,Rochester,Dining Establishments,6/16/2023,NO,,Closing,Small Layoff Services,1,2023-06,plant-closing-mass-layoff-warn-june-2023_tcm1045-583884.pdf
Meadow Lane Healthcare 2023,Benson,Health Care/Social Assist,8/11/2023,NO,,Closing,Rapid Response in Progress,28,2023-06,plant-closing-mass-layoff-warn-june-2023_tcm1045-583884.pdf
Dirks Furniture 2023,Olivia,Retail,6/22/2023,NO,,Closing,Small Layoff Services,1,2023-06,plant-closing-mass-layoff-warn-june-2023_tcm1045-583884.pdf
Yellow Corp 2023,Burnsville,Transportation,7/30/2023,YES,8/1/2023,Closing,Rapid Response in Progress,320,2023-07,plant-closing-mass-layoff-warn-july-2023_tcm1045-586340.pdf
FedEx Freight,Winona,Transportation,8/12/2023,NO,-,Closing,Rapid Response in Progress,30,2023-07,plant-closing-mass-layoff-warn-july-2023_tcm1045-586340.pdf
Uptown Collab 2023,Minneapolis,Dining Establishments,7/1/2023,NO,-,Closing,Small Layoff Services,25,2023-07,plant-closing-mass-layoff-warn-july-2023_tcm1045-586340.pdf
Fiddlehead Coffee Co. – Rochester,Rochester,Dining Establishments,7/1/2023,NO,-,Closing,Small Layoff Services,1,2023-07,plant-closing-mass-layoff-warn-july-2023_tcm1045-586340.pdf
Fiddlehead Coffee Co – Bloomington,Rochester,Dining Establishments,7/1/2023,NO,-,Closing,Small Layoff Services,1,2023-07,plant-closing-mass-layoff-warn-july-2023_tcm1045-586340.pdf
Trophy House,New Trier,Dining Establishments,7/1/2023,NO,-,Closing,Small Layoff Services,1,2023-07,plant-closing-mass-layoff-warn-july-2023_tcm1045-586340.pdf
Crescendo,Albert Lea,Dining Establishments,7/1/2023,NO,-,Closing,Small Layoff Services,1,2023-07,plant-closing-mass-layoff-warn-july-2023_tcm1045-586340.pdf
Anytime Fitness in Edina,Edina,Health Care/Social Assist,7/1/2023,NO,-,Closing,Small Layoff Services,1,2023-07,plant-closing-mass-layoff-warn-july-2023_tcm1045-586340.pdf
Foxy Falafel,St Paul,Dining Establishments,7/1/2023,NO,-,Closing,Small Layoff Services,1,2023-07,plant-closing-mass-layoff-warn-july-2023_tcm1045-586340.pdf
Ngon Bistro,St Paul,Dining Establishments,7/1/2023,NO,-,Closing,Small Layoff Services,1,2023-07,plant-closing-mass-layoff-warn-july-2023_tcm1045-586340.pdf
YWCA Nicollet 2023,Minneapolis,Other Services,11/1/2023,NO,,Closing,Small Layoff Services,6,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
YWCA Hennepin 2023,Minneapolis,Other Services,11/1/2023,NO,,Closing,Small Layoff Services,6,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
Shutterfly 2023-2024,Shakopee,Manufacturing,10/9/2023,NO,,Closing,Rapid Response in Progress,246,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
Northern Brewer St. Paul 2023,St Paul,Retail,8/1/2023,NO,,Closing,Small Layoff Services,9,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
Coborns Pharmacy - Sauk Centre,Sauk Centre,Health Care/Social Assist,8/1/2023,NO,,Closing,Small Layoff Services,1,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
Northern Brewer St. Louis Park 2023,Roseville,Retail,8/1/2023,NO,,Closing,Small Layoff Services,9,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
Good Earth Restaurant- Roseville 2023,Roseville,Dining Establishments,7/1/2023,NO,,Closing,Small Layoff Services,1,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
Psycho Suzi's Motor Lounge 2023,Minneapolis,Dining Establishments,8/1/2023,NO,,Closing,Small Layoff Services,1,2023-08,plant-closing-mass-layoff-warn-august-2023_tcm1045-590869.pdf
